index,beer(megalitres)
1956-01-01,284.4
1956-04-01,212.8
1956-07-01,226.9
1956-10-01,308.4
1957-01-01,262.0
1957-04-01,227.9
1957-07-01,236.1
1957-10-01,320.4
1958-01-01,271.9
1958-04-01,232.8
1958-07-01,237.0
1958-10-01,313.4
1959-01-01,261.4
1959-04-01,226.8
1959-07-01,249.9
1959-10-01,314.3
1960-01-01,286.1
1960-04-01,226.5
1960-07-01,260.4
1960-10-01,311.4
1961-01-01,294.7
1961-04-01,232.6
1961-07-01,257.2
1961-10-01,339.2
1962-01-01,279.1
1962-04-01,249.8
1962-07-01,269.8
1962-10-01,345.7
1963-01-01,293.8
1963-04-01,254.7
1963-07-01,277.5
1963-10-01,363.4
1964-01-01,313.4
1964-04-01,272.8
1964-07-01,300.1
1964-10-01,369.5
1965-01-01,330.8
1965-04-01,287.8
1965-07-01,305.9
1965-10-01,386.1
1966-01-01,335.2
1966-04-01,288.0
1966-07-01,308.3
1966-10-01,402.3
1967-01-01,352.8
1967-04-01,316.1
1967-07-01,324.9
1967-10-01,404.8
1968-01-01,393.0
1968-04-01,318.9
1968-07-01,327.0
1968-10-01,442.3
1969-01-01,383.1
1969-04-01,331.6
1969-07-01,361.4
1969-10-01,445.9
1970-01-01,386.6
1970-04-01,357.2
1970-07-01,373.6
1970-10-01,466.2
1971-01-01,409.6
1971-04-01,369.8
1971-07-01,378.6
1971-10-01,487.0
1972-01-01,419.2
1972-04-01,376.7
1972-07-01,392.8
1972-10-01,506.1
1973-01-01,458.4
1973-04-01,387.4
1973-07-01,426.9
1973-10-01,565.0
1974-01-01,464.8
1974-04-01,444.5
1974-07-01,449.5
1974-10-01,556.1
1975-01-01,499.6
1975-04-01,451.9
1975-07-01,434.9
1975-10-01,553.8
1976-01-01,510.0
1976-04-01,432.9
1976-07-01,453.2
1976-10-01,547.6
1977-01-01,485.8
1977-04-01,452.6
1977-07-01,456.6
1977-10-01,565.7
1978-01-01,514.8
1978-04-01,464.3
1978-07-01,430.9
1978-10-01,588.3
1979-01-01,503.1
1979-04-01,442.6
1979-07-01,448.0
1979-10-01,554.5
1980-01-01,504.5
1980-04-01,427.3
1980-07-01,473.1
1980-10-01,526.2
1981-01-01,547.5
1981-04-01,440.2
1981-07-01,468.7
1981-10-01,574.5
1982-01-01,492.6
1982-04-01,432.6
1982-07-01,479.8
1982-10-01,575.7
1983-01-01,474.6
1983-04-01,405.3
1983-07-01,434.6
1983-10-01,535.1
1984-01-01,452.6
1984-04-01,429.5
1984-07-01,417.2
1984-10-01,551.8
1985-01-01,464.0
1985-04-01,416.6
1985-07-01,422.9
1985-10-01,553.6
1986-01-01,458.6
1986-04-01,427.6
1986-07-01,429.2
1986-10-01,534.2
1987-01-01,481.7
1987-04-01,416.0
1987-07-01,440.2
1987-10-01,538.7
1988-01-01,473.8
1988-04-01,439.9
1988-07-01,446.8
1988-10-01,597.5
1989-01-01,467.2
1989-04-01,439.4
1989-07-01,447.4
1989-10-01,568.5
1990-01-01,485.9
1990-04-01,442.1
1990-07-01,430.5
1990-10-01,600.0
1991-01-01,464.5
1991-04-01,423.6
1991-07-01,437.0
1991-10-01,574.0
1992-01-01,443.0
1992-04-01,410.0
1992-07-01,420.0
1992-10-01,532.0
1993-01-01,432.0
1993-04-01,420.0
1993-07-01,411.0
1993-10-01,512.0
1994-01-01,449.0
1994-04-01,382.0
