index,CO2
1965-01-01,319.32
1965-02-01,320.36
1965-03-01,320.82
1965-04-01,322.06
1965-05-01,322.17
1965-06-01,321.95
1965-07-01,321.2
1965-08-01,318.81
1965-09-01,317.82
1965-10-01,317.37
1965-11-01,318.93
1965-12-01,319.09
1966-01-01,319.94
1966-02-01,320.98
1966-03-01,321.81
1966-04-01,323.03
1966-05-01,323.36
1966-06-01,323.11
1966-07-01,321.65
1966-08-01,319.64
1966-09-01,317.86
1966-10-01,317.25
1966-11-01,319.06
1966-12-01,320.26
1967-01-01,321.65
1967-02-01,321.81
1967-03-01,322.36
1967-04-01,323.67
1967-05-01,324.17
1967-06-01,323.39
1967-07-01,321.93
1967-08-01,320.29
1967-09-01,318.58
1967-10-01,318.6
1967-11-01,319.98
1967-12-01,321.25
1968-01-01,321.88
1968-02-01,322.47
1968-03-01,323.17
1968-04-01,324.23
1968-05-01,324.88
1968-06-01,324.75
1968-07-01,323.47
1968-08-01,321.34
1968-09-01,319.56
1968-10-01,319.45
1968-11-01,320.45
1968-12-01,321.92
1969-01-01,323.4
1969-02-01,324.21
1969-03-01,325.33
1969-04-01,326.31
1969-05-01,327.01
1969-06-01,326.24
1969-07-01,325.37
1969-08-01,323.12
1969-09-01,321.85
1969-10-01,321.31
1969-11-01,322.31
1969-12-01,323.72
1970-01-01,324.6
1970-02-01,325.57
1970-03-01,326.55
1970-04-01,327.8
1970-05-01,327.8
1970-06-01,327.54
1970-07-01,326.28
1970-08-01,324.63
1970-09-01,323.12
1970-10-01,323.11
1970-11-01,323.99
1970-12-01,325.09
1971-01-01,326.12
1971-02-01,326.61
1971-03-01,327.16
1971-04-01,327.92
1971-05-01,329.14
1971-06-01,328.8
1971-07-01,327.52
1971-08-01,325.62
1971-09-01,323.61
1971-10-01,323.8
1971-11-01,325.1
1971-12-01,326.25
1972-01-01,326.93
1972-02-01,327.83
1972-03-01,327.95
1972-04-01,329.91
1972-05-01,330.22
1972-06-01,329.25
1972-07-01,328.11
1972-08-01,326.39
1972-09-01,324.97
1972-10-01,325.32
1972-11-01,326.54
1972-12-01,327.71
1973-01-01,328.73
1973-02-01,329.69
1973-03-01,330.47
1973-04-01,331.69
1973-05-01,332.65
1973-06-01,332.24
1973-07-01,331.03
1973-08-01,329.36
1973-09-01,327.6
1973-10-01,327.29
1973-11-01,328.28
1973-12-01,328.79
1974-01-01,329.45
1974-02-01,330.89
1974-03-01,331.63
1974-04-01,332.85
1974-05-01,333.28
1974-06-01,332.47
1974-07-01,331.34
1974-08-01,329.53
1974-09-01,327.57
1974-10-01,327.57
1974-11-01,328.53
1974-12-01,329.69
1975-01-01,330.45
1975-02-01,330.97
1975-03-01,331.64
1975-04-01,332.87
1975-05-01,333.61
1975-06-01,333.55
1975-07-01,331.9
1975-08-01,330.05
1975-09-01,328.58
1975-10-01,328.31
1975-11-01,329.41
1975-12-01,330.63
1976-01-01,331.63
1976-02-01,332.46
1976-03-01,333.36
1976-04-01,334.45
1976-05-01,334.82
1976-06-01,334.32
1976-07-01,333.05
1976-08-01,330.87
1976-09-01,329.24
1976-10-01,328.87
1976-11-01,330.18
1976-12-01,331.5
1977-01-01,332.81
1977-02-01,333.23
1977-03-01,334.55
1977-04-01,335.82
1977-05-01,336.44
1977-06-01,335.99
1977-07-01,334.65
1977-08-01,332.41
1977-09-01,331.32
1977-10-01,330.73
1977-11-01,332.05
1977-12-01,333.53
1978-01-01,334.66
1978-02-01,335.07
1978-03-01,336.33
1978-04-01,337.39
1978-05-01,337.65
1978-06-01,337.57
1978-07-01,336.25
1978-08-01,334.39
1978-09-01,332.44
1978-10-01,332.25
1978-11-01,333.59
1978-12-01,334.76
1979-01-01,335.89
1979-02-01,336.44
1979-03-01,337.63
1979-04-01,338.54
1979-05-01,339.06
1979-06-01,338.95
1979-07-01,337.41
1979-08-01,335.71
1979-09-01,333.68
1979-10-01,333.69
1979-11-01,335.05
1979-12-01,336.53
1980-01-01,337.81
1980-02-01,338.16
1980-03-01,339.88
1980-04-01,340.57
1980-05-01,341.19
1980-06-01,340.87
1980-07-01,339.25
1980-08-01,337.19
1980-09-01,335.49
1980-10-01,336.63
1980-11-01,337.74
1980-12-01,338.36
