index,intakes
"1966-01",529
"1966-02",567
"1966-03",747
"1966-04",719
"1966-05",707
"1966-06",728
"1966-07",758
"1966-08",746
"1966-09",725
"1966-10",725
"1966-11",555
"1966-12",526
"1967-01",612
"1967-02",570
"1967-03",597
"1967-04",666
"1967-05",677
"1967-06",651
"1967-07",736
"1967-08",757
"1967-09",708
"1967-10",601
"1967-11",569
"1967-12",526
"1968-01",538
"1968-02",525
"1968-03",668
"1968-04",692
"1968-05",762
"1968-06",693
"1968-07",775
"1968-08",843
"1968-09",578
"1968-10",708
"1968-11",434
"1968-12",489
"1969-01",528
"1969-02",505
"1969-03",576
"1969-04",805
"1969-05",895
"1969-06",707
"1969-07",803
"1969-08",834
"1969-09",645
"1969-10",745
"1969-11",637
"1969-12",588
"1970-01",429
"1970-02",552
"1970-03",598
"1970-04",735
"1970-05",831
"1970-06",720
"1970-07",691
"1970-08",670
"1970-09",649
"1970-10",586
"1970-11",559
"1970-12",374
"1971-01",442
"1971-02",396
"1971-03",555
"1971-04",707
"1971-05",616
"1971-06",473
"1971-07",289
"1971-08",183
"1971-09",204
"1971-10",183
"1971-11",140
"1971-12",201
"1972-01",203
"1972-02",201
"1972-03",290
"1972-04",256
"1972-05",169
"1972-06",174
"1972-07",192
"1972-08",170
"1972-09",169
"1972-10",170
"1972-11",124
"1972-12",152
"1973-01",163
"1973-02",114
"1973-03",208
"1973-04",176
"1973-05",191
"1973-06",230
"1973-07",258
"1973-08",356
"1973-09",375
"1973-10",339
"1973-11",291
"1973-12",150
"1974-01",187
"1974-02",163
"1974-03",162
"1974-04",206
"1974-05",168
"1974-06",138
"1974-07",183
"1974-08",128
"1974-09",148
"1974-10",133
"1974-11",103
"1974-12",122
"1975-01",123
"1975-02",140
"1975-03",157
"1975-04",149
"1975-05",171
"1975-06",139
"1975-07",169
"1975-08",172
"1975-09",162
"1975-10",138
"1975-11",124
"1975-12",140
"1976-01",128
"1976-02",112
"1976-03",154
"1976-04",159
"1976-05",176
"1976-06",245
"1976-07",168
"1976-08",242
"1976-09",246
"1976-10",138
"1976-11",199
"1976-12",232
"1977-01",198
"1977-02",219
"1977-03",243
"1977-04",218
"1977-05",203
"1977-06",211
"1977-07",267
"1977-08",233
"1977-09",223
"1977-10",211
"1977-11",267
"1977-12",248
"1978-01",244
"1978-02",265
"1978-03",268
"1978-04",242
"1978-05",244
"1978-06",276
"1978-07",371
