index,riders/100
1960-01-01,648
1960-02-01,646
1960-03-01,639
1960-04-01,654
1960-05-01,630
1960-06-01,622
1960-07-01,617
1960-08-01,613
1960-09-01,661
1960-10-01,695
1960-11-01,690
1960-12-01,707
1961-01-01,817
1961-02-01,839
1961-03-01,810
1961-04-01,789
1961-05-01,760
1961-06-01,724
1961-07-01,704
1961-08-01,691
1961-09-01,745
1961-10-01,803
1961-11-01,780
1961-12-01,761
1962-01-01,857
1962-02-01,907
1962-03-01,873
1962-04-01,910
1962-05-01,900
1962-06-01,880
1962-07-01,867
1962-08-01,854
1962-09-01,928
1962-10-01,1064
1962-11-01,1103
1962-12-01,1026
1963-01-01,1102
1963-02-01,1080
1963-03-01,1034
1963-04-01,1083
1963-05-01,1078
1963-06-01,1020
1963-07-01,984
1963-08-01,952
1963-09-01,1033
1963-10-01,1114
1963-11-01,1160
1963-12-01,1058
1964-01-01,1209
1964-02-01,1200
1964-03-01,1130
1964-04-01,1182
1964-05-01,1152
1964-06-01,1116
1964-07-01,1098
1964-08-01,1044
1964-09-01,1142
1964-10-01,1222
1964-11-01,1234
1964-12-01,1155
1965-01-01,1286
1965-02-01,1281
1965-03-01,1224
1965-04-01,1280
1965-05-01,1228
1965-06-01,1181
1965-07-01,1156
1965-08-01,1124
1965-09-01,1152
1965-10-01,1205
1965-11-01,1260
1965-12-01,1188
1966-01-01,1212
1966-02-01,1269
1966-03-01,1246
1966-04-01,1299
1966-05-01,1284
1966-06-01,1345
1966-07-01,1341
1966-08-01,1308
1966-09-01,1448
1966-10-01,1454
1966-11-01,1467
1966-12-01,1431
1967-01-01,1510
1967-02-01,1558
1967-03-01,1536
1967-04-01,1523
1967-05-01,1492
1967-06-01,1437
1967-07-01,1365
1967-08-01,1310
1967-09-01,1441
1967-10-01,1450
1967-11-01,1424
1967-12-01,1360
1968-01-01,1429
1968-02-01,1440
1968-03-01,1414
1968-04-01,1424
1968-05-01,1408
1968-06-01,1337
1968-07-01,1258
1968-08-01,1214
1968-09-01,1326
1968-10-01,1417
1968-11-01,1417
1968-12-01,1329
1969-01-01,1461
1969-02-01,1425
1969-03-01,1419
1969-04-01,1432
1969-05-01,1394
1969-06-01,1327
