index,fatalities
1960-01-01,61
1960-02-01,65
1960-03-01,55
1960-04-01,56
1960-05-01,91
1960-06-01,80
1960-07-01,135
1960-08-01,129
1960-09-01,129
1960-10-01,130
1960-11-01,109
1960-12-01,126
1961-01-01,73
1961-02-01,68
1961-03-01,74
1961-04-01,95
1961-05-01,105
1961-06-01,108
1961-07-01,127
1961-08-01,108
1961-09-01,126
1961-10-01,154
1961-11-01,127
1961-12-01,103
1962-01-01,95
1962-02-01,59
1962-03-01,68
1962-04-01,82
1962-05-01,92
1962-06-01,124
1962-07-01,139
1962-08-01,167
1962-09-01,138
1962-10-01,146
1962-11-01,128
1962-12-01,145
1963-01-01,91
1963-02-01,66
1963-03-01,89
1963-04-01,98
1963-05-01,113
1963-06-01,130
1963-07-01,127
1963-08-01,157
1963-09-01,157
1963-10-01,136
1963-11-01,145
1963-12-01,112
1964-01-01,71
1964-02-01,95
1964-03-01,95
1964-04-01,105
1964-05-01,116
1964-06-01,104
1964-07-01,128
1964-08-01,181
1964-09-01,130
1964-10-01,124
1964-11-01,123
1964-12-01,152
1965-01-01,85
1965-02-01,86
1965-03-01,101
1965-04-01,105
1965-05-01,135
1965-06-01,142
1965-07-01,138
1965-08-01,190
1965-09-01,129
1965-10-01,175
1965-11-01,146
1965-12-01,179
1966-01-01,103
1966-02-01,104
1966-03-01,80
1966-04-01,108
1966-05-01,125
1966-06-01,134
1966-07-01,150
1966-08-01,149
1966-09-01,148
1966-10-01,167
1966-11-01,160
1966-12-01,168
1967-01-01,99
1967-02-01,102
1967-03-01,98
1967-04-01,104
1967-05-01,114
1967-06-01,165
1967-07-01,184
1967-08-01,161
1967-09-01,205
1967-10-01,189
1967-11-01,152
1967-12-01,146
1968-01-01,72
1968-02-01,83
1968-03-01,97
1968-04-01,105
1968-05-01,134
1968-06-01,145
1968-07-01,172
1968-08-01,175
1968-09-01,149
1968-10-01,166
1968-11-01,142
1968-12-01,146
1969-01-01,111
1969-02-01,84
1969-03-01,116
1969-04-01,102
1969-05-01,153
1969-06-01,176
1969-07-01,145
1969-08-01,175
1969-09-01,147
1969-10-01,174
1969-11-01,169
1969-12-01,131
1970-01-01,81
1970-02-01,85
1970-03-01,107
1970-04-01,111
1970-05-01,135
1970-06-01,114
1970-07-01,150
1970-08-01,156
1970-09-01,146
1970-10-01,166
1970-11-01,154
1970-12-01,130
1971-01-01,92
1971-02-01,80
1971-03-01,87
1971-04-01,101
1971-05-01,130
1971-06-01,151
1971-07-01,195
1971-08-01,224
1971-09-01,191
1971-10-01,188
1971-11-01,169
1971-12-01,161
1972-01-01,121
1972-02-01,89
1972-03-01,105
1972-04-01,134
1972-05-01,155
1972-06-01,203
1972-07-01,192
1972-08-01,195
1972-09-01,225
1972-10-01,186
1972-11-01,172
1972-12-01,157
1973-01-01,130
1973-02-01,84
1973-03-01,122
1973-04-01,116
1973-05-01,147
1973-06-01,183
1973-07-01,211
1973-08-01,256
1973-09-01,207
1973-10-01,196
1973-11-01,153
1973-12-01,154
1974-01-01,94
1974-02-01,89
1974-03-01,118
1974-04-01,101
1974-05-01,150
1974-06-01,150
1974-07-01,191
1974-08-01,214
1974-09-01,173
1974-10-01,170
1974-11-01,175
1974-12-01,123
