"index","Temperature"
"1",40.6
"2",40.8
"3",44.4
"4",46.7
"5",54.1
"6",58.5
"7",57.7
"8",56.4
"9",54.3
"10",50.5
"11",42.9
"12",39.8
"13",44.2
"14",39.8
"15",45.1
"16",47
"17",54.1
"18",58.7
"19",66.3
"20",59.9
"21",57
"22",54.2
"23",39.7
"24",42.8
"25",37.5
"26",38.7
"27",39.5
"28",42.1
"29",55.7
"30",57.8
"31",56.8
"32",54.3
"33",54.3
"34",47.1
"35",41.8
"36",41.7
"37",41.8
"38",40.1
"39",42.9
"40",45.8
"41",49.2
"42",52.7
"43",64.2
"44",59.6
"45",54.4
"46",49.2
"47",36.3
"48",37.6
"49",39.3
"50",37.5
"51",38.3
"52",45.5
"53",53.2
"54",57.7
"55",60.8
"56",58.2
"57",56.4
"58",49.8
"59",44.4
"60",43.6
"61",40
"62",40.5
"63",40.8
"64",45.1
"65",53.8
"66",59.4
"67",63.5
"68",61
"69",53
"70",50
"71",38.1
"72",36.3
"73",39.2
"74",43.4
"75",43.4
"76",48.9
"77",50.6
"78",56.8
"79",62.5
"80",62
"81",57.5
"82",46.7
"83",41.6
"84",39.8
"85",39.4
"86",38.5
"87",45.3
"88",47.1
"89",51.7
"90",55
"91",60.4
"92",60.5
"93",54.7
"94",50.3
"95",42.3
"96",35.2
"97",40.8
"98",41.1
"99",42.8
"100",47.3
"101",50.9
"102",56.4
"103",62.2
"104",60.5
"105",55.4
"106",50.2
"107",43
"108",37.3
"109",34.8
"110",31.3
"111",41
"112",43.9
"113",53.1
"114",56.9
"115",62.5
"116",60.3
"117",59.8
"118",49.2
"119",42.9
"120",41.9
"121",41.6
"122",37.1
"123",41.2
"124",46.9
"125",51.2
"126",60.4
"127",60.1
"128",61.6
"129",57
"130",50.9
"131",43
"132",38.8
"133",37.1
"134",38.4
"135",38.4
"136",46.5
"137",53.5
"138",58.4
"139",60.6
"140",58.2
"141",53.8
"142",46.6
"143",45.5
"144",40.6
"145",42.4
"146",38.4
"147",40.3
"148",44.6
"149",50.9
"150",57
"151",62.1
"152",63.5
"153",56.3
"154",47.3
"155",43.6
"156",41.8
"157",36.2
"158",39.3
"159",44.5
"160",48.7
"161",54.2
"162",60.8
"163",65.5
"164",64.9
"165",60.1
"166",50.2
"167",42.1
"168",35.8
"169",39.4
"170",38.2
"171",40.4
"172",46.9
"173",53.4
"174",59.6
"175",66.5
"176",60.4
"177",59.2
"178",51.2
"179",42.8
"180",45.8
"181",40
"182",42.6
"183",43.5
"184",47.1
"185",50
"186",60.5
"187",64.6
"188",64
"189",56.8
"190",48.6
"191",44.2
"192",36.4
"193",37.3
"194",35
"195",44
"196",43.9
"197",52.7
"198",58.6
"199",60
"200",61.1
"201",58.1
"202",49.6
"203",41.6
"204",41.3
"205",40.8
"206",41
"207",38.4
"208",47.4
"209",54.1
"210",58.6
"211",61.4
"212",61.8
"213",56.3
"214",50.9
"215",41.4
"216",37.1
"217",42.1
"218",41.2
"219",47.3
"220",46.6
"221",52.4
"222",59
"223",59.6
"224",60.4
"225",57
"226",50.7
"227",47.8
"228",39.2
"229",39.4
"230",40.9
"231",42.4
"232",47.8
"233",52.4
"234",58
"235",60.7
"236",61.8
"237",58.2
"238",46.7
"239",46.6
"240",37.8
